"","goldschmidt_TF","goldschmidt_TF_ionic","octahedral_factor","octahedral_factor_ionic","A_O","B_O","A_B"
"1552",0.963841470423,0.940995947271,0.452857142857,0.392857142857,2.7725,2.034,2.0065
"1553",1.04279444194,0.877962725923,0.342857142857,0.492857142857,2.7725,1.88,1.8525
"1554",1.01712352444,0.969538163895,0.410267857143,0.385714285714,2.84,1.974375,2.014375
"1555",1.02002959165,0.969538163895,0.40625,0.385714285714,2.84,1.96875,2.00875
"1556",1.02589183069,0.969538163895,0.398214285714,0.385714285714,2.84,1.9575,1.9975
"1557",1.05416444019,0.908649293699,0.360714285714,0.478571428571,2.84,1.905,1.945
"1558",1.04729244254,0.9130602126,0.369642857143,0.471428571429,2.84,1.9175,1.9575
"1559",1.04388993298,0.915281770295,0.374107142857,0.467857142857,2.84,1.92375,1.96375
"1560",1.0405094604,0.917514164857,0.378571428571,0.464285714286,2.84,1.93,1.97
"1561",1.03354773987,0.923143086113,0.387857142857,0.455357142857,2.84,1.943,1.983
"1562",1.05735593448,0.907553214937,0.356607142857,0.480357142857,2.84,1.89925,1.93925
"1563",1.02667855755,0.928841500225,0.397142857143,0.446428571429,2.84,1.956,1.996
"1564",1.013210524,0.940452018978,0.415714285714,0.428571428571,2.84,1.982,2.022
"1565",1.02615393897,0.93114061285,0.397857142857,0.442857142857,2.84,1.957,1.997
"1566",1.00009126423,0.952356474915,0.434285714286,0.410714285714,2.84,2.008,2.048
"1567",1.00635593013,0.947558709298,0.425357142857,0.417857142857,2.84,1.9955,2.0355
"1568",0.993658217996,0.958422439723,0.443571428571,0.401785714286,2.84,2.021,2.061
"1569",0.996740666867,0.955986804552,0.439107142857,0.405357142857,2.84,2.01475,2.05475
"1570",0.987307403427,0.964566173311,0.452857142857,0.392857142857,2.84,2.034,2.074
"1571",1.00597783773,0.951754098903,0.425892857143,0.411607142857,2.84,1.99625,2.03625
"1572",0.997855035314,0.93461070209,0.4375,0.4375,2.84,2.0125,2.0525
"1573",0.981996703457,0.90211224842,0.460714285714,0.489285714286,2.84,2.045,2.085
"1574",1.00534831468,0.958422439723,0.426785714286,0.401785714286,2.84,1.9975,2.0375
"1575",0.996617001772,0.947558709298,0.439285714286,0.417857142857,2.84,2.015,2.055
"1576",0.979601589546,0.926553713279,0.464285714286,0.45,2.84,2.05,2.09
"1577",1.0345460795,0.916396608018,0.386517857143,0.466071428571,2.84,1.941125,1.981125
"1578",0.98821837169,0.957203072751,0.451517857143,0.403571428571,2.84,2.032125,2.072125
"1579",1.01174293523,0.961484492246,0.417767857143,0.397321428571,2.84,1.984875,2.024875
"1580",1.02865066389,0.915281770295,0.394464285714,0.467857142857,2.84,1.95225,1.99225
"1581",0.989131022569,0.949951534321,0.450178571429,0.414285714286,2.84,2.03025,2.07025
"1582",1.00926410784,0.953563517342,0.42125,0.408928571429,2.84,1.98975,2.02975
"1583",1.01705913323,0.9130602126,0.410357142857,0.471428571429,2.84,1.9745,2.0145
"1584",0.990961390856,0.935773153212,0.4475,0.435714285714,2.84,2.0265,2.0665
"1585",1.03010169714,0.904280787479,0.3925,0.485714285714,2.84,1.9495,1.9895
"1586",1.00434271496,0.938106752098,0.428214285714,0.432142857143,2.84,1.9995,2.0395
"1587",1.00572593393,0.910849413054,0.42625,0.475,2.84,1.99675,2.03675
"1588",0.992798545826,0.922011783312,0.444821428571,0.457142857143,2.84,2.02275,2.06275
"1589",1.0120616145,0.906459777328,0.417321428571,0.482142857143,2.84,1.98425,2.02425
"1590",1.00015352478,0.909748023195,0.434196428571,0.476785714286,2.84,2.007875,2.047875
"1591",0.993719680124,0.915281770295,0.443482142857,0.467857142857,2.84,2.020875,2.060875
"1592",1.00327646716,0.907553214937,0.429732142857,0.480357142857,2.84,2.001625,2.041625
"1593",0.994642525295,0.908649293699,0.442142857143,0.478571428571,2.84,2.019,2.059
"1594",1.00787114608,0.963331133396,0.423214285714,0.394642857143,2.84,1.9925,2.0325
"1595",1.00158766013,0.957203072751,0.432142857143,0.403571428571,2.84,2.005,2.045
"1596",0.989252836734,0.945177908521,0.45,0.421428571429,2.84,2.03,2.07
"1597",1.05416444019,0.908649293699,0.360714285714,0.478571428571,2.84,1.905,1.945
"1598",1.06112721721,0.904280787479,0.351785714286,0.485714285714,2.84,1.8925,1.9325
"1599",1.06464321197,0.90211224842,0.347321428571,0.489285714286,2.84,1.88625,1.92625
"1600",1.06818258435,0.899954085147,0.342857142857,0.492857142857,2.84,1.88,1.92
"1601",1.00377794868,0.956594552044,0.429017857143,0.404464285714,2.84,2.000625,2.040625
"1602",0.993535316547,0.943991988937,0.44375,0.423214285714,2.84,2.02125,2.06125
"1603",0.973664610216,0.919757475773,0.473214285714,0.460714285714,2.84,2.0625,2.1025
"1604",1.00787114608,0.963331133396,0.423214285714,0.394642857143,2.84,1.9925,2.0325
"1605",1.00158766013,0.957203072751,0.432142857143,0.403571428571,2.84,2.005,2.045
"1606",0.989252836734,0.945177908521,0.45,0.421428571429,2.84,2.03,2.07
"1607",1.01263574337,0.965184881568,0.416517857143,0.391964285714,2.84,1.983125,2.023125
"1608",1.01104254679,0.960870517474,0.41875,0.398214285714,2.84,1.98625,2.02625
"1609",1.00787114608,0.952356474915,0.423214285714,0.410714285714,2.84,1.9925,2.0325
"1610",1.00158766013,0.935773153212,0.432142857143,0.435714285714,2.84,2.005,2.045
"1611",1.02720371282,0.942809041582,0.396428571429,0.425,2.84,1.955,1.995
"1612",1.02197621301,0.949951534321,0.403571428571,0.414285714286,2.84,1.965,2.005
"1613",0.977218130691,0.924277168529,0.467857142857,0.453571428571,2.84,2.055,2.095
"1614",1.0005895658,0.96704577787,0.433571428571,0.389285714286,2.84,2.007,2.047
"1615",1.00409162928,0.949951534321,0.428571428571,0.414285714286,2.84,2,2.04
"1616",1.02720371282,0.972043430468,0.396428571429,0.382142857143,2.84,1.955,1.995
"1617",1.00283808168,0.947558709298,0.430357142857,0.417857142857,2.84,2.0025,2.0425
"1618",0.996617001772,0.957203072751,0.439285714286,0.403571428571,2.84,2.015,2.055
"1619",1.0405094604,0.933451135462,0.378571428571,0.439285714286,2.84,1.93,1.97
"1620",1.00158766013,0.947558709298,0.432142857143,0.417857142857,2.84,2.005,2.045
"1621",1.00534831468,0.945177908521,0.426785714286,0.421428571429,2.84,1.9975,2.0375
"1622",1.00283808168,0.947558709298,0.430357142857,0.417857142857,2.84,2.0025,2.0425
"1623",1.00158766013,0.972043430468,0.432142857143,0.382142857143,2.84,2.005,2.045
"1624",1.00913731586,0.938106752098,0.421428571429,0.432142857143,2.84,1.99,2.03
"1625",1.00409162928,0.949951534321,0.428571428571,0.414285714286,2.84,2,2.04
"1626",1.06253082464,1.04494668775,0.35,0.285714285714,2.84,1.89,1.93
"1627",0.986822240083,0.928841500225,0.453571428571,0.446428571429,2.84,2.035,2.075
"1628",0.974846242024,0.922011783312,0.471428571429,0.457142857143,2.84,2.06,2.1
"1629",1.02067764095,0.955986804552,0.405357142857,0.405357142857,2.84,1.9675,2.0075
"1630",1.0180903719,0.959644917325,0.408928571429,0.4,2.84,1.9725,2.0125
"1631",0.995382036466,0.94636681155,0.441071428571,0.419642857143,2.84,2.0175,2.0575
"1632",1.00736556738,0.96829036703,0.423928571429,0.3875,2.84,1.9935,2.0335
"1633",1.00913731586,0.959644917325,0.421428571429,0.4,2.84,1.99,2.03
"1634",1.02067764095,0.970789180881,0.405357142857,0.383928571429,2.84,1.9675,2.0075
"1635",1.00850383356,0.958422439723,0.422321428571,0.401785714286,2.84,1.99125,2.03125
"1636",1.00534831468,0.963331133396,0.426785714286,0.394642857143,2.84,1.9975,2.0375
"1637",1.02720371282,0.951152484428,0.396428571429,0.4125,2.84,1.955,1.995
"1638",1.00787114608,0.958422439723,0.423214285714,0.401785714286,2.84,1.9925,2.0325
"1639",1.0097715945,0.957203072751,0.420535714286,0.403571428571,2.84,1.98875,2.02875
"1640",1.00850383356,0.958422439723,0.422321428571,0.401785714286,2.84,1.99125,2.03125
"1641",1.00787114608,0.970789180881,0.423214285714,0.383928571429,2.84,1.9925,2.0325
"1642",1.01167922346,0.953563517342,0.417857142857,0.408928571429,2.84,1.985,2.025
"1643",1.00913731586,0.959644917325,0.421428571429,0.4,2.84,1.99,2.03
"1644",1.03782080546,1.00583103634,0.382142857143,0.335714285714,2.84,1.935,1.975
"1645",1.00034035296,0.948753613093,0.433928571429,0.416071428571,2.84,2.0075,2.0475
"1646",0.994150128005,0.945177908521,0.442857142857,0.421428571429,2.84,2.02,2.06
"1647",1.01744560282,0.962714798698,0.409821428571,0.395535714286,2.84,1.97375,2.01375
"1648",1.01615851161,0.964566173311,0.411607142857,0.392857142857,2.84,1.97625,2.01625
"1649",1.00471957902,0.957812368151,0.427678571429,0.402678571429,2.84,1.99875,2.03875
"1650",1.01078810045,0.968913863725,0.419107142857,0.386607142857,2.84,1.98675,2.02675
"1651",1.01167922346,0.964566173311,0.417857142857,0.392857142857,2.84,1.985,2.025
"1652",1.01744560282,0.970163269094,0.409821428571,0.384821428571,2.84,1.97375,2.01375
"1653",1.01136078493,0.963948257761,0.418303571429,0.39375,2.84,1.985625,2.025625
"1654",1.0097715945,0.966424682315,0.420535714286,0.390178571429,2.84,1.98875,2.02875
"1655",1.02067764095,0.960257326334,0.405357142857,0.399107142857,2.84,1.9675,2.0075
"1656",1.01104254679,0.963948257761,0.41875,0.39375,2.84,1.98625,2.02625
"1657",1.01199786259,0.963331133396,0.417410714286,0.394642857143,2.84,1.984375,2.024375
"1658",1.01136078493,0.963948257761,0.418303571429,0.39375,2.84,1.985625,2.025625
"1659",1.01104254679,0.970163269094,0.41875,0.384821428571,2.84,1.98625,2.02625
"1660",1.01295498541,0.961484492246,0.416071428571,0.397321428571,2.84,1.9825,2.0225
"1661",1.01167922346,0.964566173311,0.417857142857,0.392857142857,2.84,1.985,2.025
"1662",1.02589183069,0.987351201027,0.398214285714,0.360714285714,2.84,1.9575,1.9975
"1663",1.00723925195,0.959033288952,0.424107142857,0.400892857143,2.84,1.99375,2.03375
"1664",1.00409162928,0.957203072751,0.428571428571,0.403571428571,2.84,2,2.04
"1665",1.01423396897,0.969538163895,0.414285714286,0.385714285714,2.84,1.98,2.02
"1666",0.994150128005,0.940452018978,0.442857142857,0.428571428571,2.84,2.02,2.06
"1667",0.974846242024,0.9130602126,0.471428571429,0.471428571429,2.84,2.06,2.1
"1668",0.938403391855,0.862800017411,0.528571428571,0.557142857143,2.84,2.14,2.18
"1669",1.00534831468,0.951152484428,0.426785714286,0.4125,2.84,1.9975,2.0375
"1670",0.996617001772,0.933451135462,0.439285714286,0.439285714286,2.84,2.015,2.055
"1671",0.979601589546,0.899954085147,0.464285714286,0.492857142857,2.84,2.05,2.09
"1672",1.01797393565,0.894985394545,0.360714285714,0.478571428571,2.7425,1.905,1.8475
"1673",1.01133786045,0.899329983839,0.369642857143,0.471428571429,2.7425,1.9175,1.86
"1674",1.00805216239,0.901518134651,0.374107142857,0.467857142857,2.7425,1.92375,1.86625
"1675",0.998065026971,0.909261235194,0.387857142857,0.455357142857,2.7425,1.943,1.8855
"1676",1.02105586279,0.893905798171,0.356607142857,0.480357142857,2.7425,1.89925,1.84175
"1677",0.991431670452,0.914873958869,0.397142857143,0.446428571429,2.7425,1.956,1.8985
"1678",1.01081071014,0.901518134651,0.370357142857,0.467857142857,2.7425,1.9185,1.861
"1679",0.999029092616,0.902616207897,0.386517857143,0.466071428571,2.7425,1.941125,1.883625
"1680",1.02206487774,0.887482522974,0.355267857143,0.491071428571,2.7425,1.897375,1.839875
"1681",0.993336072431,0.901518134651,0.394464285714,0.467857142857,2.7425,1.95225,1.89475
"1682",0.824857655212,0.832638097397,0.679285714286,0.589285714286,2.7425,2.351,2.2935
"1683",1.01279036292,0.8885466507,0.367678571429,0.489285714286,2.7425,1.91475,1.85725
"1684",0.982142490455,0.899329983839,0.410357142857,0.471428571429,2.7425,1.9745,1.917
"1685",0.994737290282,0.890682580148,0.3925,0.485714285714,2.7425,1.9495,1.892
"1686",0.971198371055,0.897152429399,0.42625,0.475,2.7425,1.99675,1.93925
"1687",0.958714792932,0.908146944465,0.444821428571,0.457142857143,2.7425,2.02275,1.96525
"1688",0.977316541466,0.892828803233,0.417321428571,0.482142857143,2.7425,1.98425,1.92675
"1689",0.965817268208,0.896067601794,0.434196428571,0.476785714286,2.7425,2.007875,1.950375
